dataset_number,physics_short,e-tag,crossSection_pb,genFiltEff,kFactor,nEvents,sumOfWeights,sumOfWeightsSquared,process,generator,keywords,description,job_path
507366,MGPy8EG_A14NNPDF23LO_GGM_N1N2C1_950,e8307,0.00114755498,1.0,1.0,10000.0,11.25481386273168,0.013099264588782097,Electroweakino GGM,MadGraph(v.2.8.1p3.atlas9)+Pythia8(v.244p3.rangefix)+EvtGen(v.1.7.0),"['chargino', 'neutralino', 'simplifiedmodel', 'susy']","GGM Chargino/Neutralinos production, bino-higgsino mix, simplified model: mN1 = 950 GeV",https://gitlab.cern.ch/atlas-physics/pmg/mcjoboptions/-/blob/master/507xxx/507366/mc.MGPy8EG_A14NNPDF23LO_GGM_N1N2C1_950.py
510097,MGPy8EG_A14N23LO_DM_4topscalar_p1000_c1_nonallhad,e8485,0.00051114,0.7909392,1.0,20000.0,11.734678453794913,0.006913865463229607,Dark matter 4-top scalar mediation,MadGraph(v.2.9.9.atlas2)+Pythia8(v.307p1)+EvtGen(v.1.7.0),"['bsm', 'exotic', 'susy', 'wimp']","DM4top+4topscalar with matching, m_med = 1000 GeV, m_chi =1 GeV",https://gitlab.cern.ch/atlas-physics/pmg/mcjoboptions/-/blob/master/510xxx/510097/mc.MGPy8EG_A14N23LO_DM_4topscalar_p1000_c1_nonallhad.py
523692,MGPy8EG_A14N23LO_TT_tN1_1200_200_MS,e8526,0.0017,1.0,1.0,10000.0,9.606960100645665,0.009510735318003134,"Stop pair, stop->top neutralino",MadGraph(v.3.3.1.atlas4)+Pythia8(v.308)+EvtGen(v.2.1.1),"['gluino', 'neutralino', 'susy']","TT pair production. Stop pair production decay to qN1, m_T = 1200 GeV, m_N1 = 200 GeV",https://gitlab.cern.ch/atlas-physics/pmg/mcjoboptions/-/blob/master/523xxx/523692/mc.MGPy8EG_A14N23LO_TT_tN1_1200_200_MS.py
600017,PhH7EG_H7UE_716_tchan_lept_antitop,e7954,22.194,1.0,1.0,1620000.0,35961967.8270607,846656059.227535,t-channel single top,Powheg+Herwig7(v.7.1.6p3)+EvtGen(v.1.7.0),"['SM', 'lepton', 'top']","POWHEG+Herwig7+EvtGen single-top-quark t-channel (2->3) production (antitop),MadSpin, ME NNPDF3.04f NLO, H7.1 Default tune'",https://gitlab.cern.ch/atlas-physics/pmg/mcjoboptions/-/blob/master/600xxx/600017/mc.PhH7EG_H7UE_716_tchan_lept_antitop.py
600018,PhH7EG_H7UE_716_tchan_lept_top,e7954,37.019,1.0,1.0,2799000.0,103617410.18842316,4011110123.8861804,t-channel single top,Powheg+Herwig7(v.7.1.6p3)+EvtGen(v.1.7.0),"['SM', 'lepton', 'top']","POWHEG+Herwig7+EvtGen single-top-quark t-channel (2->3) production (top),MadSpin, H7.1-Default tune, ME NNPDF3.04f NLO'",https://gitlab.cern.ch/atlas-physics/pmg/mcjoboptions/-/blob/master/600xxx/600018/mc.PhH7EG_H7UE_716_tchan_lept_top.py
600019,PhH7EG_H7UE_716_schan_lept_antitop,e7954,1.2687,1.0,1.0,140000.0,177586.4274753332,228244.6024843211,s-channel single top,Powheg+Herwig7(v.7.1.6p3)+EvtGen(v.1.7.0),"['SM', 'inclusive', 'sChannel', 'singleTop', 'top']","POWHEG+Herwig7+EvtGen single-top-quark s-channel production (anti-top), inclusive, H7.1-Default tune, ME NNPDF30 NLO'",https://gitlab.cern.ch/atlas-physics/pmg/mcjoboptions/-/blob/master/600xxx/600019/mc.PhH7EG_H7UE_716_schan_lept_antitop.py
600020,PhH7EG_H7UE_716_schan_lept_top,e7954,2.0279,1.0,1.0,160000.0,324472.7781198025,658916.8741082391,s-channel single top,Powheg+Herwig7(v.7.1.6p3)+EvtGen(v.1.7.0),"['SM', 'inclusive', 'sChannel', 'singleTop', 'top']","POWHEG+Herwig7+EvtGen single-top-quark s-channel production (top), inclusive, H7.1-Default tune, ME NNPDF30 NLO'",https://gitlab.cern.ch/atlas-physics/pmg/mcjoboptions/-/blob/master/600xxx/600020/mc.PhH7EG_H7UE_716_schan_lept_top.py
600565,PhH7EG_ggH125_tautauh30h20_ShowerSys_fix,e8231,28.295,0.44814,1.0,969000.0,27471438.751476288,786280649.7766786,ggF H->tautau->h-h+,Powheg+Herwig7(v.7.2.1p3)+EvtGen(v.1.7.0),"['Higgs', 'SMHiggs']","125 GeV, for systematics",https://gitlab.cern.ch/atlas-physics/pmg/mcjoboptions/-/blob/master/600xxx/600565/mc.PhH7EG_ggH125_tautauh30h20_ShowerSys_fix.py
600566,PhH7EG_ggH125_tautaul13l7_ShowerSys_fix,e8231,28.297,0.433,1.0,690000.0,19568309.003585815,559890245.9712379,ggF H->tautau->ll,Powheg+Herwig7(v.7.2.1p3)+EvtGen(v.1.7.0),"['Higgs', 'SMHiggs']","125 GeV, for systematics",https://gitlab.cern.ch/atlas-physics/pmg/mcjoboptions/-/blob/master/600xxx/600566/mc.PhH7EG_ggH125_tautaul13l7_ShowerSys_fix.py
600567,PhH7EG_ggH125_ttlp15hm20_ShowerSys_fix,e8231,28.295,0.16429,1.0,360000.0,10206198.641990662,292116650.07190937,ggF H->tautau->l+h-,Powheg+Herwig7(v.7.2.1p3)+EvtGen(v.1.7.0),"['Higgs', 'SMHiggs']","125 GeV, for systematics",https://gitlab.cern.ch/atlas-physics/pmg/mcjoboptions/-/blob/master/600xxx/600567/mc.PhH7EG_ggH125_ttlp15hm20_ShowerSys_fix.py
